Sample_ID,incubation,Timepoint,time,inject_volume_ul,co2_area,HS_ml,T_C,pressure_bar,delta_pressure,delta_13C,CO2_ppm,CO2_HS_ml,CO2_mmol,CO2_umol
T12-4-PP,PP,T12,432,50,62.7,100,22,1,0,259.11,850.6055603705759,0.08506055603705759,0.003466165475172233,3.466165475172233
T12-5-PP,PP,T12,432,50,59.7,100,22,1,0,241.22,809.9067297308354,0.08099067297308354,0.0033003202371257147,3.3003202371257148
T13-1-PE,PE,T13,504,50,61.4,100,22,1,0,154.3,832.9694004266883,0.08329694004266883,0.0033942992053520747,3.3942992053520746
T13-2-PE,PE,T13,504,50,64,100,22,1,0,162.14,868.2417203144634,0.08682417203144634,0.0035380317449923908,3.5380317449923906
T13-3-PE,PE,T13,504,50,60.2,100,22,1,0,161.64,816.6898681707921,0.08166898681707922,0.003327961110133468,3.327961110133468
T13-4-PE,PE,T13,504,50,64.8,100,22,1,0,157.4,879.0947418183941,0.08790947418183942,0.003582257141804796,3.5822571418047957
T13-5-PE,PE,T13,504,50,64.2,100,22,1,0,158.44,870.9549756904461,0.08709549756904461,0.0035490880941954923,3.549088094195492
T13-1-PP,PP,T13,504,50,58.8,100,22,1,0,256.62,797.6970805389132,0.07976970805389132,0.0032505666657117586,3.2505666657117587
T13-2-PP,PP,T13,504,50,64.6,100,22,1,0,264,876.3814864424114,0.08763814864424115,0.0035712007926016944,3.571200792601694
T13-3-PP,PP,T13,504,50,64.9,100,22,1,0,268.76,880.4513695063856,0.08804513695063856,0.003587785316406347,3.5877853164063467
T13-4-PP,PP,T13,504,50,65.2,100,22,1,0,265.73,884.5212525703596,0.08845212525703597,0.0036043698402109985,3.6043698402109987
T13-5-PP,PP,T13,504,50,63.1,100,22,1,0,248.87,856.0320711225412,0.08560320711225412,0.003488278173578435,3.488278173578435
T14-1-PE,PE,T14,552,50,63.3,100,22,1,0,158.68,858.7453264985239,0.0858745326498524,0.0034993345227815366,3.4993345227815364
T14-2-PE,PE,T14,552,50,65.6,100,22,1,0,158.46,889.9477633223248,0.08899477633223249,0.0036264825386172,3.6264825386172004
